name,ppg,rpg,apg,fg_pct,three_pt_pct,spg,bpg,tov,freethrow_pct
Eugene Omoruyi,9.7,3.5,1.0,.425,.293,0.8,0.2,1.1,.723
Chance Comanche,7.0,3.0,0.0,.600,,0.0,1.0,0.0,.250
Kevon Looney,7.0,9.3,2.5,.630,.000,0.6,0.6,0.5,.606
Joshua Primo,7.0,3.3,4.5,.346,.250,0.3,0.5,2.8,.778
Daniel Theis,7.0,3.1,1.3,.477,.182,0.3,0.9,0.4,.417
Xavier Tillman Sr.,7.0,5.0,1.6,.614,.267,1.0,0.5,0.7,.551
Svi Mykhailiuk,1.6,0.5,0.1,.500,.600,0.1,0.0,0.2,.600
Svi Mykhailiuk,10.6,2.4,2.7,.441,.404,0.7,0.2,1.2,.676
Jae Crowder,6.9,3.8,1.5,.479,.436,0.7,0.3,0.4,.833
Willy Hernangómez,6.9,4.7,0.9,.527,.273,0.4,0.3,1.0,.779
Joe Ingles,6.9,2.8,3.3,.435,.409,0.7,0.1,1.2,.857
Ty Jerome,6.9,1.7,3.0,.488,.389,0.5,0.1,0.7,.927
Cory Joseph,6.9,1.7,3.5,.427,.389,0.5,0.1,0.9,.792
Romeo Langford,6.9,2.7,1.2,.467,.262,0.6,0.3,0.7,.696
Ben Simmons,6.9,6.3,6.1,.566,.000,1.3,0.6,2.3,.439
Will Barton,7.7,2.8,2.4,.386,.377,0.4,0.3,1.1,.778
Will Barton,4.5,1.6,1.1,.354,.333,0.7,0.2,0.2,1.000
Larry Nance Jr.,6.8,5.4,1.8,.610,.333,0.9,0.6,0.6,.696
Jeremiah Robinson-Earl,6.8,4.2,1.0,.444,.333,0.6,0.3,0.4,.833
Aaron Wiggins,6.8,3.0,1.1,.512,.393,0.6,0.2,0.8,.831
Justise Winslow,6.8,5.0,3.4,.409,.311,1.0,0.4,1.5,.714
Terence Davis,6.7,2.2,1.0,.423,.366,0.7,0.2,0.8,.791
Anthony Lamb,6.7,3.5,1.5,.471,.367,0.5,0.3,0.9,.767
Isaiah Livers,6.7,2.8,0.8,.417,.365,0.5,0.5,0.6,.821
Théo Maledon,6.7,2.8,3.5,.402,.295,0.8,0.3,1.3,.851
Dwight Powell,6.7,4.1,0.9,.732,.000,0.6,0.3,0.9,.667
David Roddy,6.7,2.8,0.8,.429,.307,0.4,0.3,0.8,.631
Kevin Knox,5.6,2.6,0.4,.469,.371,0.3,0.3,0.8,.788
Kevin Knox,8.5,3.3,0.9,.444,.314,0.5,0.0,0.9,.741
Mo Bamba,7.3,4.6,1.1,.495,.398,0.3,1.0,0.6,.686
Mo Bamba,3.7,4.6,0.4,.407,.313,0.1,0.6,0.9,.545
Drew Eubanks,6.6,5.4,1.3,.641,.389,0.5,1.3,0.9,.664
Jordan Goodwin,6.6,3.3,2.7,.448,.322,0.9,0.4,0.9,.768
Jock Landale,6.6,4.1,1.0,.528,.250,0.2,0.4,0.9,.752
Nassir Little,6.6,2.6,0.9,.442,.367,0.4,0.4,0.7,.717
Brandon Boston Jr.,6.5,1.4,0.9,.418,.414,0.4,0.0,0.5,.763
Luka Garza,6.5,2.3,0.6,.543,.359,0.1,0.1,0.5,.788
Jay Scrubb,6.5,3.0,0.5,.714,1.000,1.0,0.0,1.5,.500
Cody Zeller,6.5,4.3,0.7,.627,.000,0.2,0.3,0.9,.686
Dario Šarić,5.8,3.8,1.5,.427,.391,0.4,0.1,1.0,.818
Dario Šarić,7.4,3.3,0.9,.515,.391,0.4,0.1,1.0,.844
R.J. Hampton,5.7,1.5,1.3,.439,.340,0.6,0.2,0.8,.838
R.J. Hampton,7.3,2.3,1.0,.423,.365,0.5,0.2,1.0,.667
JaMychal Green,6.4,3.6,0.9,.540,.378,0.4,0.4,0.9,.776
Sam Hauser,6.4,2.6,0.9,.455,.418,0.4,0.3,0.4,.706
Isaac Okoro,6.4,2.5,1.1,.494,.363,0.7,0.4,0.6,.757
Duncan Robinson,6.4,1.6,1.1,.371,.328,0.3,0.0,0.7,.906
Goran Dragić,6.4,1.4,2.7,.425,.352,0.2,0.1,1.1,.659
Goran Dragić,5.6,1.7,1.7,.389,.412,0.3,0.0,1.0,1.000
Simone Fontecchio,6.3,1.7,0.8,.369,.330,0.3,0.2,0.8,.795
Patrick Beverley,6.4,3.1,2.6,.402,.348,0.9,0.6,0.9,.780
Patrick Beverley,5.8,4.9,3.5,.395,.309,1.0,0.7,0.8,.533
Nickeil Alexander-Walker,6.3,1.6,2.1,.488,.402,0.7,0.4,1.3,.692
Nickeil Alexander-Walker,5.9,1.8,1.4,.384,.361,0.3,0.3,0.4,.619
Jared Butler,6.2,0.7,1.3,.469,.500,0.8,0.0,0.8,
Quenton Jackson,6.2,0.9,1.7,.452,.083,0.4,0.1,0.4,.773
Patty Mills,6.2,1.1,1.4,.411,.366,0.4,0.1,0.8,.833
Sandro Mamukelashvili,2.4,2.3,0.7,.328,.219,0.2,0.2,0.4,.667
Sandro Mamukelashvili,10.8,6.8,2.4,.453,.343,0.5,0.4,1.4,.692
Mike Muscala,6.2,3.1,0.9,.438,.394,0.3,0.4,0.3,.795
Mike Muscala,5.9,3.4,0.6,.472,.385,0.2,0.3,0.5,.692
Nicolas Batum,6.1,3.8,1.6,.420,.391,0.7,0.6,0.6,.708
Oshae Brissett,6.1,3.4,0.7,.386,.310,0.5,0.2,0.5,.717
Evan Fournier,6.1,1.8,1.3,.337,.307,0.6,0.1,0.8,.857
Saben Lee,3.0,0.0,1.0,.750,.000,0.5,0.0,1.5,
Saben Lee,6.3,2.0,2.8,.393,.379,0.8,0.0,0.9,.737
Robert Covington,6.0,3.5,1.2,.445,.397,0.8,0.7,0.7,.750
Andre Drummond,6.0,6.6,0.5,.606,.000,0.7,0.4,1.1,.536
Maxi Kleber,5.9,3.6,1.4,.456,.348,0.3,0.8,0.7,.711
Jaylin Williams,5.9,4.9,1.6,.436,.407,0.6,0.2,0.8,.704
Josh Christopher,5.8,1.1,1.1,.465,.236,0.5,0.2,0.9,.750
Johnny Davis,5.8,2.3,1.0,.386,.243,0.4,0.3,0.6,.519
Stanley Johnson,5.8,3.2,2.2,.533,.450,0.5,0.2,1.1,.667
Charles Bassey,5.7,5.5,1.4,.644,.375,0.5,0.9,1.2,.595
Rodney McGruder,5.7,2.3,0.9,.408,.423,0.5,0.0,0.3,.818
Ziaire Williams,5.7,2.1,0.9,.429,.258,0.4,0.2,1.0,.773
James Bouknight,5.6,2.1,1.2,.358,.303,0.4,0.1,0.9,.667
Alex Caruso,5.6,2.9,2.9,.455,.364,1.5,0.7,1.1,.808
Montrezl Harrell,5.6,2.8,0.6,.598,.000,0.3,0.4,0.6,.693
Jalen Johnson,5.6,4.0,1.2,.491,.288,0.5,0.5,0.6,.628
Davion Mitchell,5.6,1.3,2.3,.454,.320,0.6,0.2,0.8,.806
Payton Pritchard,5.6,1.8,1.3,.412,.364,0.3,0.0,0.8,.750
Derrick Rose,5.6,1.5,1.7,.384,.302,0.3,0.2,0.8,.917
Yuta Watanabe,5.6,2.4,0.8,.491,.444,0.4,0.3,0.4,.723
Danny Green,3.0,1.3,0.7,.273,.375,0.3,0.0,1.0,
Danny Green,6.5,1.3,0.5,.500,.448,0.6,0.4,0.9,1.000
Jarrell Brantley,5.5,1.5,0.8,.571,.444,0.0,0.5,0.5,1.000
Wenyen Gabriel,5.5,4.2,0.5,.596,.278,0.4,0.5,0.7,.619
Nikola Jović,5.5,2.1,0.7,.406,.229,0.5,0.1,0.7,.947
Otto Porter Jr.,5.5,2.4,1.0,.500,.353,1.4,0.0,0.5,1.000
Jamal Cain,5.4,2.9,0.7,.561,.350,0.6,0.1,0.3,.773
Bryce McGowens,5.3,2.0,1.2,.396,.325,0.3,0.1,0.9,.750
Lamar Stevens,5.3,3.3,0.5,.448,.316,0.4,0.3,0.4,.702
Dewayne Dedmon,5.7,3.6,0.5,.496,.297,0.2,0.5,0.6,.727
Dewayne Dedmon,3.5,3.1,1.3,.591,.500,0.3,0.6,0.8,.200
Darius Bazley,5.4,3.4,0.9,.449,.400,0.5,0.8,0.6,.554
Darius Bazley,4.0,2.3,0.9,.480,.250,0.4,0.7,0.7,.400
Rudy Gay,5.2,2.9,1.0,.380,.254,0.3,0.3,0.7,.857
Javonte Green,5.2,2.8,0.7,.565,.371,0.8,0.7,0.6,.667
Zeke Nnaji,5.2,2.6,0.3,.561,.262,0.3,0.4,0.6,.645
Ricky Rubio,5.2,2.1,3.5,.343,.256,0.8,0.2,0.9,.800
Lindy Waters III,5.2,1.8,0.7,.393,.358,0.3,0.3,0.2,.800
MarJon Beauchamp,5.1,2.2,0.7,.395,.331,0.4,0.1,0.9,.730
DeAndre Jordan,5.1,5.2,0.9,.765,1.000,0.3,0.6,1.2,.458
John Konchar,5.1,4.3,1.4,.431,.339,1.1,0.3,0.5,.778
George Hill,5.0,1.9,2.5,.447,.311,0.5,0.1,0.8,.739
George Hill,5.2,1.6,1.9,.559,.524,0.6,0.3,0.6,.889
Vlatko Čančar,5.0,2.1,1.3,.476,.374,0.4,0.2,0.6,.927
Isaiah Hartenstein,5.0,6.5,1.2,.535,.216,0.6,0.8,0.8,.676
Jaxson Hayes,5.0,2.8,0.7,.551,.103,0.4,0.4,0.7,.699
Jonathan Isaac,5.0,4.0,0.5,.415,.400,1.3,0.4,0.4,.556
Derrick Jones Jr.,5.0,2.4,0.5,.500,.338,0.5,0.6,0.4,.738
Kenneth Lofton Jr.,5.0,2.1,0.8,.527,.353,0.2,0.1,0.5,.593
Cody Martin,5.0,3.4,1.6,.389,.214,0.6,0.1,0.3,.571
Sam Merrill,5.0,1.8,1.0,.409,.278,0.8,0.0,0.0,1.000
Blake Wesley,5.0,2.2,2.6,.321,.385,0.7,0.1,1.8,.591
Ousmane Dieng,4.9,2.7,1.2,.420,.265,0.4,0.2,0.7,.652
Chimezie Metu,4.9,3.0,0.6,.589,.237,0.3,0.3,0.5,.740
Austin Rivers,4.9,1.6,1.4,.435,.350,0.5,0.1,0.4,.769
Danuel House Jr.,4.8,1.7,0.8,.472,.336,0.3,0.2,0.5,.750
Johnny Juzang,4.8,2.2,0.4,.337,.238,0.2,0.2,0.2,.500
Meyers Leonard,4.8,3.8,0.1,.483,.389,0.2,0.0,0.7,.889
Garrison Mathews,4.8,1.4,0.5,.353,.342,0.5,0.1,0.4,.911
Garrison Mathews,4.8,1.2,0.3,.419,.400,0.1,0.1,0.1,.875
Moses Moody,4.8,1.7,0.8,.476,.363,0.3,0.1,0.5,.698
Christian Braun,4.7,2.4,0.8,.495,.354,0.5,0.2,0.5,.625
Keon Johnson,4.7,1.1,1.5,.376,.346,0.5,0.2,1.1,.659
Chuma Okeke,4.7,3.6,1.4,.352,.302,0.7,0.4,0.6,.762
Day'Ron Sharpe,4.7,4.2,0.8,.544,.545,0.3,0.7,0.9,.636
Dean Wade,4.7,3.4,0.8,.412,.354,0.6,0.5,0.4,.652
TyTy Washington Jr.,4.7,1.5,1.5,.363,.238,0.5,0.1,0.5,.556
Gary Payton II,4.1,2.6,1.5,.585,.529,1.1,0.1,0.8,1.000
Gary Payton II,5.7,4.3,1.1,.607,.444,0.9,0.6,0.6,.667
Dalano Banton,4.6,1.5,1.2,.423,.294,0.4,0.4,0.6,.708
Dāvis Bertāns,4.6,1.2,0.5,.431,.390,0.2,0.2,0.2,.867
Malachi Flynn,4.6,1.4,1.3,.360,.353,0.4,0.1,0.5,.758
Kira Lewis Jr.,4.6,1.3,0.9,.455,.441,0.4,0.1,0.4,.864
Justin Holiday,4.5,0.8,0.9,.384,.345,0.2,0.4,0.4,
Justin Holiday,4.4,1.8,0.9,.367,.286,0.8,0.5,0.6,.625
Goga Bitadze,3.3,2.3,0.9,.519,.286,0.4,0.5,0.6,.458
Goga Bitadze,5.8,5.2,1.2,.575,.167,0.4,0.9,0.6,.667
Jarrett Culver,4.4,3.8,0.6,.395,.083,0.6,0.2,0.7,.692
A.J. Green,4.4,1.3,0.6,.424,.419,0.2,0.0,0.3,1.000
Haywood Highsmith,4.4,3.5,0.8,.431,.339,0.7,0.3,0.8,.464
JaVale McGee,4.4,2.5,0.3,.640,.400,0.1,0.6,0.9,.585
Thaddeus Young,4.4,3.1,1.4,.545,.176,1.0,0.1,0.8,.692
Omer Yurtseven,4.4,2.6,0.2,.593,.429,0.2,0.2,0.4,.833
Moses Brown,4.6,4.1,0.1,.635,,0.1,0.4,0.4,.458
Moses Brown,0.0,0.0,0.0,,,0.5,0.0,0.5,
Bismack Biyombo,4.3,4.3,0.9,.578,,0.3,1.4,0.8,.357
Michael Carter-Williams,4.3,1.3,1.8,.429,.333,0.3,0.3,1.0,.571
Justin Minaya,4.3,3.8,1.0,.304,.250,0.5,1.3,1.0,.000
Xavier Sneed,4.3,1.3,1.3,.500,.500,0.0,0.3,0.8,1.000
Paul Reed,4.2,3.8,0.4,.593,.167,0.7,0.7,0.7,.745
Admiral Schofield,4.2,1.7,0.8,.451,.324,0.2,0.1,0.4,.913
Ish Wainright,4.2,2.3,0.9,.370,.329,0.6,0.4,0.4,.839
McKinley Wright IV,4.2,1.7,2.1,.469,.321,0.3,0.2,0.7,.684
Matisse Thybulle,2.7,1.3,0.5,.431,.333,0.9,0.3,0.2,.750
Matisse Thybulle,7.4,3.5,1.4,.438,.388,1.7,0.8,0.7,.625
Blake Griffin,4.1,3.8,1.5,.485,.348,0.3,0.2,0.5,.656
Kevon Harris,4.1,2.1,0.5,.439,.372,0.5,0.1,0.6,.756
Serge Ibaka,4.1,2.8,0.3,.481,.333,0.1,0.4,0.7,.615
Isaiah Roby,4.1,2.5,0.9,.432,.300,0.4,0.2,0.7,.488
Daishen Nix,4.0,1.7,2.3,.342,.286,0.5,0.1,1.5,.667
Olivier Sarr,4.0,3.4,0.4,.500,.125,0.1,0.6,0.4,.714
Bruno Fernando,4.1,3.9,1.0,.516,.000,0.2,1.0,0.6,.682
Bruno Fernando,3.4,1.9,0.1,.579,.000,0.0,0.4,0.6,.833
Patrick Baldwin Jr.,3.9,1.3,0.4,.394,.381,0.2,0.1,0.4,.667
Dominick Barlow,3.9,3.6,0.9,.535,.000,0.4,0.7,0.5,.720
Gorgui Dieng,3.9,3.5,1.7,.385,.280,0.1,0.5,1.0,.769
Udonis Haslem,3.9,1.6,0.0,.345,.333,0.1,0.3,0.1,.800
Aaron Holiday,3.9,1.2,1.4,.418,.409,0.6,0.2,0.6,.844
Jabari Walker,3.9,2.3,0.6,.419,.286,0.2,0.2,0.5,.756
Markieff Morris,3.6,2.2,0.9,.402,.408,0.3,0.2,0.5,1.000
Markieff Morris,4.5,1.5,0.8,.424,.364,0.1,0.0,0.5,
Xavier Cooks,3.8,3.8,0.6,.607,.000,0.6,0.4,0.8,.400
Dyson Daniels,3.8,3.2,2.3,.418,.314,0.7,0.2,1.0,.650
Darius Days,3.8,1.5,0.3,.417,.300,0.0,0.3,0.0,1.000
Caleb Houstan,3.8,1.9,0.6,.363,.338,0.2,0.1,0.4,.833
Furkan Korkmaz,3.8,1.1,0.6,.432,.391,0.3,0.1,0.6,.722
Luke Kornet,3.8,2.9,0.8,.665,.231,0.2,0.7,0.4,.821
JT Thor,3.8,2.2,0.5,.399,.317,0.3,0.3,0.6,.702
A.J. Lawson,2.0,1.0,0.0,1.000,,0.0,0.0,0.0,
A.J. Lawson,3.9,1.4,0.1,.488,.400,0.1,0.0,0.2,.250
David Duke Jr.,3.7,1.3,0.9,.462,.083,0.4,0.0,0.8,.706
Nathan Knight,3.7,1.5,0.3,.568,.364,0.3,0.2,0.6,.684
Jordan McLaughlin,3.7,1.4,3.4,.421,.308,0.7,0.1,0.8,.833
Orlando Robinson,3.7,4.1,0.8,.528,.000,0.4,0.4,0.5,.710
Matt Ryan,3.9,1.2,0.3,.306,.371,0.2,0.0,0.3,.800
Matt Ryan,3.4,0.5,0.5,.424,.388,0.1,0.0,0.2,.857
Bryn Forbes,3.6,0.6,0.7,.361,.304,0.3,0.1,0.5,1.000
Damian Jones,2.5,2.5,0.2,.541,.000,0.1,0.5,0.4,.750
Damian Jones,4.6,3.5,0.6,.714,.714,0.3,0.5,0.7,.778
Udoka Azubuike,3.5,3.3,0.3,.819,,0.2,0.4,0.5,.350
Miles McBride,3.5,0.8,1.1,.358,.299,0.6,0.1,0.4,.667
P.J. Tucker,3.5,3.9,0.8,.427,.393,0.5,0.2,0.6,.826
Amir Coffey,3.4,1.1,1.1,.386,.275,0.1,0.1,0.4,.778
Taj Gibson,3.4,1.9,0.7,.520,.333,0.3,0.2,0.5,.714
Kai Jones,3.4,2.7,0.3,.558,.211,0.4,0.7,0.7,.731
Wesley Matthews,3.4,2.2,0.7,.363,.315,0.4,0.3,0.3,.857
Micah Potter,3.4,2.3,0.6,.667,.571,0.1,0.0,0.3,
Jericho Sims,3.4,4.7,0.5,.776,.000,0.3,0.5,0.5,.750
Anthony Gill,3.3,1.7,0.6,.538,.138,0.1,0.2,0.3,.731
Boban Marjanović,3.3,1.9,0.3,.683,.000,0.2,0.1,0.5,.741
Raul Neto,3.3,1.0,1.6,.518,.286,0.4,0.1,0.5,.912
Peyton Watson,3.3,1.6,0.5,.492,.429,0.1,0.5,0.3,.550
Jared Rhoden,3.2,2.6,0.3,.386,.250,0.3,0.1,0.2,1.000
Max Christie,3.1,1.8,0.5,.415,.419,0.2,0.2,0.3,.875
Jordan Hall,3.1,1.3,1.2,.321,.200,0.1,0.0,0.8,.778
Richaun Holmes,3.1,1.9,0.2,.618,.625,0.1,0.3,0.3,.789
Christian Koloko,3.1,2.9,0.5,.480,.083,0.4,1.0,0.3,.627
Josh Minott,3.1,1.7,0.3,.500,.333,0.3,0.4,0.2,1.000
Jamaree Bouyea,3.8,1.3,1.0,.462,.400,1.0,0.5,1.0,.500
Jamaree Bouyea,0.0,1.0,0.0,.000,.000,0.0,0.0,0.0,
Juan Toscano-Anderson,2.7,2.0,0.8,.500,.200,0.3,0.2,0.6,.733
Juan Toscano-Anderson,3.4,2.9,1.8,.403,.174,0.3,0.1,0.8,.889
Tyler Dorsey,3.0,0.7,0.0,.800,.500,0.0,0.0,0.0,
Usman Garuba,3.0,4.1,0.9,.486,.407,0.6,0.4,0.6,.617
Jacob Gilyard,3.0,4.0,7.0,.333,.333,3.0,0.0,2.0,
Jake LaRavia,3.0,1.8,0.6,.389,.338,0.3,0.1,0.5,.778
Robin Lopez,3.0,1.4,0.5,.640,.500,0.1,0.2,0.7,.778
Trevelin Queen,3.0,2.4,0.9,.241,.133,0.3,0.7,1.0,1.000
Terry Taylor,2.7,1.5,0.4,.462,.222,0.1,0.2,0.3,.714
Terry Taylor,4.0,1.6,0.0,.900,1.000,0.0,0.2,0.0,.250
Dru Smith,2.2,1.8,1.0,.357,.167,0.8,0.6,0.2,
Dru Smith,3.3,1.5,1.7,.419,.308,0.6,0.1,0.2,1.000
Juancho Hernangómez,2.9,2.9,0.6,.421,.254,0.4,0.1,0.4,.563
Carlik Jones,2.9,0.7,0.9,.400,.500,0.3,0.0,0.3,.625
Frank Ntilikina,2.9,1.3,1.2,.364,.254,0.3,0.1,0.6,.667
Jason Preston,2.9,1.6,1.9,.439,.278,0.1,0.0,0.7,.000
Kessler Edwards,1.1,1.0,0.1,.250,.167,0.2,0.1,0.3,.500
Kessler Edwards,3.9,2.1,1.0,.435,.349,0.5,0.2,0.4,.769
James Johnson,2.8,1.7,0.8,.449,.200,0.4,0.3,0.4,.500
Moussa Diabaté,2.7,2.3,0.2,.511,.500,0.3,0.4,0.4,.625
Mamadi Diakite,2.6,1.4,0.4,.480,.333,0.2,0.4,0.5,1.000
Isaiah Mobley,2.6,1.7,0.3,.429,.375,0.3,0.3,0.1,1.000
Jaden Springer,2.6,0.9,0.5,.486,.400,0.4,0.2,0.2,.750
Frank Kaminsky,2.7,1.4,0.8,.568,.478,0.2,0.0,0.3,.833
Frank Kaminsky,1.8,1.6,1.1,.316,.200,0.1,0.3,0.0,1.000
Lester Quiñones,2.5,0.8,0.5,.400,.500,0.3,0.0,1.3,.667
Ish Smith,2.5,1.3,2.3,.397,.167,0.2,0.2,1.0,.500
John Butler,2.4,0.9,0.6,.321,.229,0.4,0.5,0.1,.750
Jeff Dowtin Jr.,2.4,0.9,1.2,.439,.313,0.4,0.1,0.2,.667
Theo Pinson,2.4,1.6,1.2,.356,.355,0.2,0.0,0.3,.846
Neemias Queta,2.4,2.2,0.2,.667,,0.0,0.4,0.2,.000
Trent Forrest,2.3,1.6,1.7,.417,.000,0.3,0.1,0.7,.667
Scotty Pippen Jr.,2.3,0.7,0.3,.333,.333,0.3,0.2,0.3,.556
Justin Champagnie,2.0,1.3,0.3,1.000,,0.0,0.0,0.0,
Justin Champagnie,2.5,2.0,1.5,.167,.200,0.5,0.0,0.0,
Khem Birch,2.2,1.3,0.4,.594,.500,0.3,0.3,0.4,.800
Kennedy Chandler,2.2,1.1,1.6,.422,.133,0.3,0.1,0.5,.462
Ron Harper Jr.,2.2,0.8,0.4,.500,.333,0.0,0.1,0.0,1.000
Dalen Terry,2.2,1.0,0.6,.444,.259,0.3,0.1,0.2,.667
Nerlens Noel,2.3,2.6,0.5,.400,.500,0.9,0.6,0.6,.700
Nerlens Noel,1.0,3.0,1.0,.167,,1.0,0.3,1.7,.500
Davon Reed,2.3,1.6,0.5,.313,.364,0.4,0.1,0.6,.750
Davon Reed,1.0,0.5,0.5,.750,.500,0.3,0.0,0.0,.250
Andre Iguodala,2.1,2.1,2.4,.467,.111,0.5,0.4,1.1,.667
Chris Silva,2.0,0.0,0.0,1.000,,0.0,0.0,1.0,
Garrett Temple,2.0,0.7,0.5,.400,.423,0.4,0.1,0.2,.750
Stanley Umude,2.0,0.0,0.0,.000,.000,1.0,1.0,0.0,1.000
Donovan Williams,2.0,1.0,0.0,.400,.000,0.0,0.0,0.0,
Vince Williams Jr.,2.0,1.0,0.3,.300,.143,0.4,0.1,0.3,1.000
Ryan Rollins,1.9,1.0,0.5,.350,.333,0.1,0.1,1.3,1.000
Greg Brown III,1.8,1.2,0.2,.393,.143,0.3,0.3,0.4,.417
Trevor Hudgins,1.8,0.0,0.6,.222,.250,0.0,0.0,0.2,1.000
Alize Johnson,1.8,2.5,0.3,.500,.000,0.3,0.0,1.0,.500
Xavier Moon,1.8,0.8,1.3,.333,.333,0.0,0.0,0.3,
Alex Len,1.7,2.3,0.5,.533,.000,0.2,0.4,0.6,.688
Dylan Windler,1.7,0.0,0.3,.667,.500,0.3,0.0,0.3,
Buddy Boeheim,1.6,0.6,0.4,.185,.160,0.2,0.0,0.0,1.000
Tony Bradley,1.6,0.9,0.1,.500,.600,0.1,0.1,0.1,1.000
JD Davison,1.6,0.8,0.9,.421,.286,0.2,0.2,0.3,.500
Kendall Brown,1.5,1.0,0.5,.571,.000,0.7,0.0,0.3,.500
Matthew Dellavedova,1.5,0.4,1.3,.340,.333,0.2,0.0,0.3,.571
Keon Ellis,1.5,0.5,0.4,.438,.500,0.3,0.1,0.1,.571
Mfiondu Kabengele,1.5,2.5,0.0,.286,.000,0.5,0.0,0.3,1.000
Jordan Schakel,1.5,0.0,0.5,.500,1.000,0.5,0.0,0.0,
Isaiah Todd,1.5,2.0,0.7,.158,.100,0.2,0.0,0.3,1.000
Thanasis Antetokounmpo,1.4,1.2,0.4,.435,.000,0.1,0.1,0.3,.500
PJ Dozier,1.4,0.9,0.6,.303,.125,0.4,0.1,0.3,
Wendell Moore Jr.,1.4,0.6,0.6,.419,.118,0.3,0.2,0.3,.800
Ryan Arcidiacono,0.3,0.4,0.2,.200,.333,0.2,0.0,0.1,
Ryan Arcidiacono,2.6,1.2,2.3,.250,.350,0.3,0.0,0.7,
Facundo Campazzo,1.3,0.3,1.1,.231,.273,0.8,0.0,0.4,.500
Braxton Key,1.3,0.3,0.0,1.000,,0.0,0.0,0.0,1.000
Tyrese Martin,1.3,0.8,0.1,.391,.143,0.1,0.0,0.1,1.000
KZ Okpala,1.3,1.0,0.4,.421,.333,0.2,0.2,0.2,.875
Cole Swider,1.3,1.0,0.6,.333,.375,0.0,0.0,0.0,
Vit Krejci,1.2,0.9,0.6,.405,.238,0.2,0.0,0.2,.500
Jack White,1.2,1.0,0.2,.421,.333,0.2,0.1,0.1,.667
Noah Vonleh,1.1,2.1,0.3,.458,.250,0.1,0.3,0.5,1.000
Malcolm Hill,1.0,0.6,0.0,.500,.333,0.0,0.0,0.0,
Trevor Keels,1.0,0.7,0.0,.250,.250,0.0,0.0,0.0,
Chima Moneke,1.0,1.0,0.5,.500,,0.0,0.0,1.0,.000
Kobi Simmons,1.0,0.8,1.0,.167,.200,0.0,0.4,0.2,1.000
Joe Wieskamp,1.0,0.4,0.3,.214,.250,0.0,0.0,0.1,
Justin Jackson,0.9,0.7,0.4,.259,.250,0.2,0.2,0.1,.500
Marko Simonovic,0.9,0.3,0.0,.286,.250,0.0,0.0,0.0,.500
Dereon Seabron,0.8,0.2,0.0,.400,,0.0,0.0,0.0,
Vernon Carey Jr.,0.5,1.0,0.3,.250,,0.2,0.2,0.2,1.000
Devon Dotson,0.5,1.7,1.3,.100,.250,0.8,0.0,0.5,
Leandro Bolmaro,0.4,0.5,0.5,.150,.000,0.2,0.1,0.5,
Sterling Brown,0.0,2.0,0.5,.000,.000,0.8,0.0,0.0,
Deonte Burton,0.0,0.0,0.0,.000,.000,0.0,0.0,0.0,
Michael Foster Jr.,0.0,0.0,0.0,,,0.0,0.0,0.0,
Frank Jackson,0.0,2.0,1.0,.000,.000,0.0,0.0,0.0,
Alondes Williams,0.0,1.0,0.0,,,0.0,0.0,2.0,
